Name,Address,Source
FA_SetLvProjectionMode,0xFF1D0B90,EVENTPROC
FA_LvJpegCheck,0xFF1D0B60,EVENTPROC
FA_GetJpegSizeForLV,0xFF255EA4,EVENTPROC
FA_GetJpegBufForLV,0xFF255E98,EVENTPROC
FA_SetContinuasCaptureForIso,0xFF1D0358,EVENTPROC
FA_SetContinuasCaptureForAccum,0xFF1D0224,EVENTPROC
FA_SetContinuasCaptureForIsoAccum,0xFF1D0310,EVENTPROC
FA_SetLvCaptureStartFrame,0xFF1D0390,EVENTPROC
FA_LvDefectMaxCountFull,0xFF1D0FA0,EVENTPROC
FA_LvDetectDefectsFull,0xFF1D0FA8,EVENTPROC
FA_LvDefectMaxCountMagnify,0xFF1D0FE0,EVENTPROC
FA_LvDetectDefectsMagnify,0xFF1D0FE8,EVENTPROC
FA_LvMargeDefectsMagnify,0xFF1D1020,EVENTPROC
FA_GetLvDetectDefectsNumFull,0xFF1D0FDC,EVENTPROC
FA_GetLvDetectDefectsNumMagnify,0xFF1D101C,EVENTPROC
FA_GetLvDefMaergeCountMagnify,0xFF1D1054,EVENTPROC
FA_SetLvDefectMaxCountMovieCrop,0xFF1D1060,EVENTPROC
FA_GetLvDefMaxCountMovieCrop,0xFF1D109C,EVENTPROC
FA_LvDetectDefectsMovieCrop,0xFF1D1068,EVENTPROC
FA_YuvSsDevelopTestImage,0xFF1D03A4,EVENTPROC
FA_RegisterPostNextCBR,0xFF1CF38C,EVENTPROC
FA_UnregisterPostNextCBR,0xFF1CF3A0,EVENTPROC
FA_DarkAdjAutoExecute,0xFF1D18FC,EVENTPROC
FA_DarkCheckAutoExecutePP,0xFF1D2C94,EVENTPROC
FA_DarkCheckAutoExecuteCH,0xFF1D324C,EVENTPROC
FA_LvDarkAdjAutoExecute,0xFF1D33A4,EVENTPROC
FA_LvDarkCheckAutoExecutePP,0xFF1D56B4,EVENTPROC
FA_LvDarkCheckAutoExecuteCH,0xFF1D58FC,EVENTPROC
FA_DarkLevelCheckAutoExecute,0xFF1D5B68,EVENTPROC
FA_ChkAssembly,0xFF1D5E4C,EVENTPROC
FA_SetMacAddress,0xFF1D5E68,EVENTPROC
FA_WriteMem1File,0xFF1CFD68,EVENTPROC
FA_WriteMem1File2,0xFF1CFD84,EVENTPROC
FA_WriteYuvFile,0xFF1CFDA4,EVENTPROC
